, DTLZ1, DTLZ2, DTLZ3, DTLZ4, DTLZ5, DTLZ6, DTLZ7, DTLZ8
Count, 50, 50, 50, 50, 50, 50, 50, 50
Minimum, 0.12634932751660485, 0.127980701236767, 0.12544998807969393, 0.13299682456885012, 0.10170693149801709, 0.096931717747466048, 0.20085816395250167, 0
Maximum, 2.4460442658147725, 0.47497449484677157, 35.191858770038735, 0.8113221648406721, 0.10679154335154011, 0.10290565262505309, 0.22053452857134298, 0
Median, 0.53026894835897442, 0.22051251805063604, 2.5756604558111, 0.32688161530007187, 0.1056083709474897, 0.098825548347950931, 0.21320024942957208, 0
Average, 0.66934189789740328, 0.23857972954920886, 6.54401163408178, 0.33981298971578566, 0.10539467632588, 0.098976875680738471, 0.21260331443955371, 0
Standard Deviation, 0.44731830689199331, 0.0985398989952533, 8.8056469671114268, 0.13137057439992661, 0.0010742100523515336, 0.0012411904103245808, 0.0042535985125983769, 0
Variance, 0.20009366768071951, 0.0097101116939947215, 77.539418509398658, 0.01725822781816665, 1.1539272365730847E-06, 1.5405536346817015E-06, 1.8093100306379127E-05, 0
25th Percentile, 0.37798528217293775, 0.15788559470934838, 0.67066255266982144, 0.24618015774054788, 0.1049414833520142, 0.098365454119076615, 0.21039050920594873, 0
75th Percentile, 0.81121298424152966, 0.29459500755333151, 9.6292878424508981, 0.44250725602897767, 0.10607413142699461, 0.0994181729583243, 0.21544140953626248, 0
Interquartile Range, 0.4332277020685919, 0.13670941284398314, 8.958625289781077, 0.19632709828842979, 0.0011326480749804108, 0.0010527188392476794, 0.0050509003303137456, 0
