	DTLZ1	DTLZ2	DTLZ3	DTLZ4	DTLZ5	DTLZ6	DTLZ7	DTLZ8
Count	50	50	50	50	50	50	50	50
Minimum	0.037774747574408719	0.049503777688694954	0.03537992313844962	0.044076039978115461	0.010535079907644924	0.0090736646438494949	0.061420804955184351	0
Maximum	0.69324854958979842	1.8349687796990009	140.82585131538534	1.6247595273312927	0.016780853310899766	0.01890076704633506	0.10593166731981458	0
Median	0.14550588989227592	0.25659254882824778	14.867438930006607	0.32642679292448434	0.013984444427795764	0.012218633370192611	0.079626833273512221	0
Average	0.19945632268812438	0.48246047203810605	24.501583736954395	0.41247629201933378	0.013999653698571025	0.012517746307055046	0.081348416865687223	0
Standard Deviation	0.14192829325352155	0.52204462042809674	29.931204993136987	0.36668787343896075	0.0014590506975422069	0.002194604857493814	0.011045398696579105	0
Variance	0.020143640425857607	0.27253058571791561	895.87703234118851	0.13445999652718732	2.1288289379984004E-06	4.8162904805354444E-06	0.00012200083236639139	0
25th Percentile	0.10267159391088049	0.069727059937409339	1.136455637788873	0.13249399989530236	0.012995888666474921	0.011187476781348141	0.0747210299716618	0
75th Percentile	0.24303060665254983	0.75789161797727178	37.52092879952523	0.48008309231209861	0.015130723212531182	0.013744767698105646	0.089746683195687488	0
Interquartile Range	0.14035901274166934	0.68816455803986243	36.384473161736359	0.34758909241679625	0.0021348345460562614	0.0025572909167575052	0.015025653224025687	0
